,empo_1,empo_2,empo_3
5379,Host-associated,Animal,Animal distal gut
5380,Free-living,Non-saline,Water (non-saline)
5381,Free-living,Non-saline,Soil (non-saline)
5382,Host-associated,Animal,Animal secretion
5383,Free-living,Saline,Water (saline)
5384,Host-associated,Plant,Plant surface
5385,Host-associated,Animal,Animal distal gut
5386,Free-living,Non-saline,Surface (non-saline)
5387,Host-associated,Animal,Animal surface
5388,Host-associated,Plant,Plant rhizosphere
5389,Host-associated,Animal,Animal surface
5390,Host-associated,Plant,Plant surface
5391,Free-living,Non-saline,Soil (non-saline)
5392,Free-living,Non-saline,Water (non-saline)
5393,Free-living,Non-saline,Sediment (non-saline)
5394,Free-living,Non-saline,Soil (non-saline)
5395,Free-living,Non-saline,Water (non-saline)
5396,Host-associated,Animal,Animal distal gut
5397,Free-living,Non-saline,Soil (non-saline)
5398,Free-living,Non-saline,Surface (non-saline)
5399,Free-living,Saline,Sediment (saline)
5400,Host-associated,Plant,Plant rhizosphere
5401,Host-associated,Animal,Animal surface
5402,Free-living,Non-saline,Water (non-saline)
5403,Free-living,Non-saline,Surface (non-saline)
5404,Free-living,Non-saline,Water (non-saline)
5405,Host-associated,Plant,Plant surface
5406,Free-living,Non-saline,Water (non-saline)
5407,Free-living,Non-saline,Soil (non-saline)
5408,Host-associated,Animal,Animal distal gut
5409,Host-associated,Animal,Animal distal gut
5410,Free-living,Non-saline,Water (non-saline)
5411,Host-associated,Animal,Animal distal gut
5412,Host-associated,Animal,Animal distal gut
5413,Host-associated,Animal,Animal surface
5414,Free-living,Non-saline,Surface (non-saline)
5415,Host-associated,Animal,Animal distal gut
5416,Free-living,Non-saline,Soil (non-saline)
5417,Free-living,Non-saline,Water (non-saline)
5418,Host-associated,Animal,Animal distal gut
5419,Free-living,Non-saline,Sediment (non-saline)
5420,Free-living,Saline,Water (saline)
5421,Host-associated,Plant,Plant surface
5422,Host-associated,Plant,Plant corpus
5423,Free-living,Non-saline,Surface (non-saline)
5424,Free-living,Non-saline,Soil (non-saline)
5425,Free-living,Non-saline,Water (non-saline)
5426,Host-associated,Animal,Animal surface
5427,Host-associated,Animal,Animal distal gut
5428,Free-living,Non-saline,Soil (non-saline)
5429,Free-living,Non-saline,Sediment (non-saline)
5430,Host-associated,Animal,Animal surface
5431,Free-living,Non-saline,Soil (non-saline)
5432,Host-associated,Animal,Animal surface
5433,Host-associated,Animal,Animal surface
5434,Host-associated,Animal,Animal distal gut
5435,Free-living,Non-saline,Water (non-saline)
5436,Host-associated,Animal,Animal distal gut
5437,Host-associated,Plant,Plant surface
5438,Free-living,Non-saline,Soil (non-saline)
5439,Free-living,Non-saline,Soil (non-saline)
5440,Host-associated,Plant,Plant surface
5441,Free-living,Non-saline,Soil (non-saline)
5442,Free-living,Non-saline,Soil (non-saline)
5443,Free-living,Non-saline,Water (non-saline)
5444,Host-associated,Animal,Animal distal gut
5445,Free-living,Non-saline,Water (non-saline)
5446,Host-associated,Animal,Animal distal gut
5447,Free-living,Non-saline,Water (non-saline)
5448,Host-associated,Animal,Animal distal gut
5449,Free-living,Non-saline,Surface (non-saline)
5450,Free-living,Non-saline,Water (non-saline)
5451,Host-associated,Plant,Plant surface
5452,Free-living,Non-saline,Soil (non-saline)
5453,Host-associated,Animal,Animal surface
5454,Free-living,Non-saline,Surface (non-saline)
5455,Host-associated,Animal,Animal proximal gut
5456,Host-associated,Animal,Animal distal gut
5457,Free-living,Non-saline,Soil (non-saline)
5458,Free-living,Saline,Sediment (saline)
5459,Free-living,Non-saline,Soil (non-saline)
5460,Host-associated,Animal,Animal distal gut
5461,Free-living,Non-saline,Soil (non-saline)
5462,Host-associated,Animal,Animal distal gut
5463,Host-associated,Plant,Plant rhizosphere
5464,Free-living,Non-saline,Water (non-saline)
5465,Free-living,Non-saline,Water (non-saline)
5466,Free-living,Non-saline,Soil (non-saline)
5467,Free-living,Non-saline,Soil (non-saline)
5468,Free-living,Non-saline,Soil (non-saline)
5469,Free-living,Non-saline,Water (non-saline)
5470,Host-associated,Animal,Animal secretion
5471,Free-living,Non-saline,Soil (non-saline)
5472,Free-living,Non-saline,Water (non-saline)
5473,Host-associated,Animal,Animal distal gut
5474,Host-associated,Animal,Animal distal gut
5475,Host-associated,Animal,Animal proximal gut
5476,Free-living,Saline,Sediment (saline)
5477,Host-associated,Animal,Animal surface
5478,Free-living,Non-saline,Soil (non-saline)
5479,Free-living,Non-saline,Soil (non-saline)
5480,Free-living,Non-saline,Water (non-saline)
5481,Host-associated,Animal,Animal distal gut
5482,Free-living,Non-saline,Water (non-saline)
5483,Host-associated,Animal,Animal surface
5484,Free-living,Non-saline,Soil (non-saline)
5485,Free-living,Non-saline,Soil (non-saline)
5486,Host-associated,Animal,Animal distal gut
5487,Free-living,Non-saline,Water (non-saline)
5488,Host-associated,Animal,Animal surface
5489,Free-living,Non-saline,Water (non-saline)
5490,Free-living,Saline,Sediment (saline)
5491,Host-associated,Animal,Animal distal gut
5492,Host-associated,Animal,Animal distal gut
5493,Host-associated,Animal,Animal secretion
5494,Host-associated,Animal,Animal distal gut
5495,Host-associated,Animal,Animal distal gut
5496,Free-living,Non-saline,Soil (non-saline)
5497,Host-associated,Animal,Animal distal gut
5498,Free-living,Non-saline,Water (non-saline)
5499,Free-living,Non-saline,Water (non-saline)
5500,Free-living,Non-saline,Water (non-saline)
5501,Host-associated,Animal,Animal distal gut
5502,Free-living,Non-saline,Water (non-saline)
5503,Free-living,Non-saline,Water (non-saline)
5504,Host-associated,Animal,Animal distal gut
5505,Free-living,Non-saline,Sediment (non-saline)
5506,Free-living,Non-saline,Water (non-saline)
5507,Host-associated,Animal,Animal surface
5508,Host-associated,Animal,Animal secretion
5509,Host-associated,Animal,Animal secretion
5510,Host-associated,Animal,Animal distal gut
5511,Free-living,Non-saline,Water (non-saline)
5512,Host-associated,Animal,Animal distal gut
5513,Free-living,Non-saline,Soil (non-saline)
5514,Host-associated,Plant,Plant surface
5515,Free-living,Non-saline,Water (non-saline)
5516,Host-associated,Animal,Animal distal gut
5517,Host-associated,Animal,Animal distal gut
5518,Host-associated,Plant,Plant rhizosphere
5519,Free-living,Saline,Water (saline)
5520,Free-living,Non-saline,Soil (non-saline)
5521,Free-living,Non-saline,Surface (non-saline)
5522,Host-associated,Animal,Animal distal gut
5523,Free-living,Non-saline,Surface (non-saline)
5524,Host-associated,Animal,Animal distal gut
5525,Free-living,Non-saline,Surface (non-saline)
5526,Host-associated,Plant,Plant surface
5527,Host-associated,Animal,Animal surface
5528,Free-living,Non-saline,Water (non-saline)
5529,Host-associated,Animal,Animal distal gut
5530,Host-associated,Animal,Animal distal gut
5531,Host-associated,Animal,Animal distal gut
5532,Host-associated,Animal,Animal distal gut
5533,Host-associated,Animal,Animal proximal gut
5534,Free-living,Non-saline,Soil (non-saline)
5535,Host-associated,Animal,Animal distal gut
5536,Host-associated,Animal,Animal distal gut
5537,Host-associated,Animal,Animal surface
5538,Free-living,Non-saline,Surface (non-saline)
5539,Free-living,Non-saline,Surface (non-saline)
5540,Host-associated,Animal,Animal distal gut
5541,Host-associated,Animal,Animal surface
5542,Free-living,Non-saline,Surface (non-saline)
5543,Free-living,Saline,Sediment (saline)
5544,Free-living,Non-saline,Water (non-saline)
5545,Host-associated,Plant,Plant surface
5546,Free-living,Non-saline,Water (non-saline)
5547,Free-living,Saline,Surface (saline)
5548,Host-associated,Animal,Animal distal gut
5549,Free-living,Non-saline,Water (non-saline)
5550,Free-living,Non-saline,Surface (non-saline)
5551,Free-living,Saline,Sediment (saline)
5552,Free-living,Non-saline,Water (non-saline)
5553,Host-associated,Plant,Plant surface
5554,Host-associated,Plant,Plant surface
5555,Host-associated,Animal,Animal corpus
5556,Free-living,Non-saline,Soil (non-saline)
5557,Free-living,Non-saline,Surface (non-saline)
5558,Free-living,Non-saline,Water (non-saline)
5559,Free-living,Non-saline,Soil (non-saline)
5560,Host-associated,Animal,Animal distal gut
5561,Host-associated,Animal,Animal proximal gut
5562,Free-living,Non-saline,Water (non-saline)
5563,Free-living,Non-saline,Water (non-saline)
5564,Host-associated,Animal,Animal proximal gut
5565,Host-associated,Animal,Animal corpus
5566,Host-associated,Animal,Animal surface
5567,Host-associated,Animal,Animal distal gut
5568,Host-associated,Plant,Plant rhizosphere
5569,Host-associated,Animal,Animal surface
5570,Host-associated,Animal,Animal distal gut
5571,Host-associated,Animal,Animal corpus
5572,Free-living,Non-saline,Sediment (non-saline)
5573,Free-living,Non-saline,Water (non-saline)
5574,Host-associated,Animal,Animal distal gut
5575,Free-living,Non-saline,Soil (non-saline)
5576,Host-associated,Plant,Plant surface
5577,Host-associated,Animal,Animal surface
5578,Free-living,Non-saline,Water (non-saline)
5579,Host-associated,Animal,Animal secretion
5580,Free-living,Non-saline,Soil (non-saline)
5581,Host-associated,Animal,Animal surface
5582,Host-associated,Animal,Animal distal gut
5583,Host-associated,Animal,Animal distal gut
5584,Host-associated,Animal,Animal surface
5585,Free-living,Non-saline,Soil (non-saline)
5586,Free-living,Non-saline,Water (non-saline)
5587,Free-living,Non-saline,Surface (non-saline)
5588,Host-associated,Animal,Animal distal gut
5589,Free-living,Non-saline,Water (non-saline)
5590,Host-associated,Animal,Animal distal gut
5591,Host-associated,Plant,Plant surface
5592,Host-associated,Animal,Animal distal gut
5593,Free-living,Non-saline,Sediment (non-saline)
5594,Host-associated,Animal,Animal surface
5595,Free-living,Non-saline,Soil (non-saline)
5596,Host-associated,Animal,Animal distal gut
5597,Free-living,Saline,Water (saline)
5598,Free-living,Non-saline,Water (non-saline)
5599,Free-living,Non-saline,Soil (non-saline)
5600,Free-living,Non-saline,Water (non-saline)
5601,Host-associated,Plant,Plant surface
5602,Free-living,Non-saline,Water (non-saline)
5603,Free-living,Non-saline,Water (non-saline)
5604,Free-living,Non-saline,Soil (non-saline)
5605,Free-living,Non-saline,Water (non-saline)
5606,Free-living,Non-saline,Sediment (non-saline)
5607,Free-living,Non-saline,Water (non-saline)
5608,Host-associated,Animal,Animal surface
5609,Free-living,Non-saline,Surface (non-saline)
5610,Host-associated,Animal,Animal distal gut
5611,Host-associated,Animal,Animal proximal gut
5612,Host-associated,Animal,Animal distal gut
5613,Host-associated,Animal,Animal distal gut
5614,Free-living,Non-saline,Soil (non-saline)
5615,Free-living,Non-saline,Water (non-saline)
5616,Free-living,Non-saline,Soil (non-saline)
5617,Host-associated,Animal,Animal distal gut
5618,Host-associated,Animal,Animal distal gut
5619,Host-associated,Plant,Plant rhizosphere
5620,Host-associated,Plant,Plant rhizosphere
5621,Free-living,Non-saline,Water (non-saline)
5622,Free-living,Non-saline,Soil (non-saline)
5623,Host-associated,Animal,Animal surface
5624,Host-associated,Animal,Animal distal gut
5625,Free-living,Non-saline,Water (non-saline)
5626,Free-living,Non-saline,Soil (non-saline)
5627,Free-living,Non-saline,Soil (non-saline)
5628,Free-living,Non-saline,Water (non-saline)
5629,Host-associated,Animal,Animal secretion
5630,Free-living,Non-saline,Soil (non-saline)
5631,Free-living,Non-saline,Water (non-saline)
5632,Host-associated,Animal,Animal distal gut
5633,Free-living,Non-saline,Water (non-saline)
5634,Free-living,Non-saline,Water (non-saline)
5635,Host-associated,Animal,Animal distal gut
5636,Free-living,Non-saline,Water (non-saline)
5637,Free-living,Non-saline,Soil (non-saline)
5638,Host-associated,Animal,Animal surface
5639,Free-living,Non-saline,Soil (non-saline)
5640,Host-associated,Animal,Animal surface
5641,Free-living,Non-saline,Soil (non-saline)
5642,Host-associated,Plant,Plant surface
5643,Host-associated,Animal,Animal distal gut
5644,Free-living,Non-saline,Water (non-saline)
5645,Free-living,Non-saline,Water (non-saline)
5646,Host-associated,Plant,Plant rhizosphere
5647,Free-living,Non-saline,Water (non-saline)
5648,Host-associated,Animal,Animal surface
5649,Free-living,Non-saline,Soil (non-saline)
5650,Host-associated,Animal,Animal surface
5651,Host-associated,Animal,Animal distal gut
5652,Free-living,Non-saline,Water (non-saline)
5653,Free-living,Non-saline,Soil (non-saline)
5654,Host-associated,Plant,Plant surface
5655,Free-living,Non-saline,Water (non-saline)
5656,Free-living,Non-saline,Water (non-saline)
5657,Free-living,Non-saline,Water (non-saline)
5658,Host-associated,Animal,Animal surface
5659,Host-associated,Plant,Plant surface
5660,Host-associated,Animal,Animal distal gut
5661,Free-living,Non-saline,Soil (non-saline)
5662,Host-associated,Plant,Plant surface
5663,Host-associated,Animal,Animal corpus
5664,Free-living,Saline,Sediment (saline)
5665,Host-associated,Animal,Animal distal gut
5666,Host-associated,Animal,Animal proximal gut
5667,Host-associated,Animal,Animal distal gut
5668,Free-living,Non-saline,Soil (non-saline)
5669,Host-associated,Animal,Animal distal gut
5670,Host-associated,Animal,Animal distal gut
5671,Host-associated,Plant,Plant rhizosphere
5672,Free-living,Non-saline,Soil (non-saline)
5673,Host-associated,Animal,Animal distal gut
5674,Host-associated,Plant,Plant surface
5675,Host-associated,Plant,Plant surface
5676,Host-associated,Plant,Plant corpus
5677,Host-associated,Animal,Animal distal gut
5678,Host-associated,Plant,Plant rhizosphere
5679,Free-living,Non-saline,Water (non-saline)
5680,Host-associated,Animal,Animal distal gut
5681,Host-associated,Animal,Animal distal gut
5682,Free-living,Non-saline,Surface (non-saline)
5683,Host-associated,Plant,Plant surface
5684,Host-associated,Animal,Animal distal gut
5685,Free-living,Non-saline,Soil (non-saline)
5686,Free-living,Non-saline,Soil (non-saline)
5687,Free-living,Non-saline,Soil (non-saline)
5688,Free-living,Non-saline,Soil (non-saline)
5689,Host-associated,Animal,Animal distal gut
5690,Free-living,Non-saline,Surface (non-saline)
5691,Free-living,Non-saline,Soil (non-saline)
5692,Host-associated,Plant,Plant surface
5693,Free-living,Non-saline,Water (non-saline)
5694,Host-associated,Plant,Plant rhizosphere
5695,Free-living,Saline,Water (saline)
5696,Free-living,Non-saline,Soil (non-saline)
5697,Free-living,Saline,Water (saline)
5698,Free-living,Non-saline,Soil (non-saline)
5699,Free-living,Non-saline,Surface (non-saline)
5700,Host-associated,Plant,Plant rhizosphere
5701,Host-associated,Animal,Animal distal gut
5702,Host-associated,Plant,Plant rhizosphere
5703,Host-associated,Plant,Plant surface
5704,Free-living,Non-saline,Soil (non-saline)
5705,Free-living,Non-saline,Water (non-saline)
5706,Host-associated,Animal,Animal distal gut
5707,Host-associated,Animal,Animal surface
5708,Host-associated,Animal,Animal distal gut
5709,Free-living,Non-saline,Water (non-saline)
5710,Host-associated,Plant,Plant surface
5711,Host-associated,Animal,Animal secretion
5712,Free-living,Saline,Sediment (saline)
5713,Free-living,Non-saline,Water (non-saline)
5714,Host-associated,Animal,Animal distal gut
5715,Free-living,Non-saline,Surface (non-saline)
5716,Free-living,Non-saline,Soil (non-saline)
5717,Host-associated,Animal,Animal distal gut
5718,Host-associated,Animal,Animal secretion
5719,Host-associated,Plant,Plant surface
5720,Free-living,Non-saline,Soil (non-saline)
5721,Host-associated,Animal,Animal surface
5722,Host-associated,Animal,Animal distal gut
5723,Free-living,Non-saline,Water (non-saline)
5724,Host-associated,Animal,Animal distal gut
5725,Free-living,Non-saline,Surface (non-saline)
5726,Free-living,Saline,Water (saline)
5727,Free-living,Non-saline,Water (non-saline)
5728,Free-living,Non-saline,Water (non-saline)
5729,Host-associated,Animal,Animal distal gut
